Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
XT45580,Oregon,4089.463358,No,Basic,College,2/25/11,Employed,F,60759,Suburban,Single,104,20,85,0,1,Corporate Auto,Corporate L3,Offer3,Branch,499.2,SUV,Large
HG97353,Oregon,8679.838135,No,Premium,Bachelor,4/1/2011,Employed,F,52717,Rural,Married,109,5,60,0,8,Corporate Auto,Corporate L2,Offer3,Agent,60.151529,Four-Door Car,Medsize
No73821,Oregon,10145.44091,No,Extended,High School or Below,1/19/11,Employed,M,44577,Suburban,Single,131,27,7,0,9,Personal Auto,Personal L1,Offer2,Branch,640.491537,SUV,Medsize
LV62981,Arizona,6874.326693,No,Extended,College,4/1/2011,Employed,M,22093,Suburban,Divorced,87,15,8,0,9,Corporate Auto,Corporate L3,Offer4,Branch,616.749885,Two-Door Car,Medsize
ZF81243,Nevada,4376.363592,Yes,Premium,Bachelor,2/28/11,Employed,F,63774,Rural,Divorced,111,18,63,0,1,Personal Auto,Personal L1,Offer2,Agent,60.036683,Four-Door Car,Medsize
YP75411,Arizona,21123.1166,No,Basic,College,10/2/2011,Unemployed,M,0,Suburban,Single,69,15,9,0,2,Personal Auto,Personal L3,Offer3,Agent,496.8,Two-Door Car,Medsize
VT84289,California,5907.91176,No,Basic,College,6/2/2011,Employed,F,87796,Suburban,Single,74,23,10,0,4,Personal Auto,Personal L1,Offer1,Agent,355.2,Four-Door Car,Medsize
IN64985,Nevada,6140.242989,No,Extended,College,1/26/11,Employed,F,34112,Suburban,Married,77,32,68,0,6,Personal Auto,Personal L3,Offer2,Branch,369.6,Four-Door Car,Small
UC88305,Arizona,2665.447079,No,Basic,College,2/23/11,Employed,F,52266,Rural,Single,68,14,98,0,1,Corporate Auto,Corporate L1,Offer1,Call Center,141.922839,Two-Door Car,Medsize
GV21882,Nevada,28328.46548,No,Basic,High School or Below,1/19/11,Medical Leave,F,20799,Urban,Single,111,20,28,0,2,Personal Auto,Personal L3,Offer3,Call Center,388.995233,Sports Car,Medsize
KQ43374,Oregon,4128.091334,No,Basic,College,2/19/11,Employed,F,32114,Urban,Married,104,22,50,0,1,Corporate Auto,Corporate L3,Offer1,Agent,445.29049,SUV,Medsize
AU13233,California,5908.7518,No,Basic,High School or Below,8/2/2011,Employed,F,71401,Urban,Married,73,15,82,0,3,Personal Auto,Personal L3,Offer4,Agent,287.332253,Four-Door Car,Medsize
YP92773,Washington,4723.821588,No,Premium,Bachelor,2/25/11,Employed,F,21546,Suburban,Married,119,20,66,1,1,Corporate Auto,Corporate L2,Offer3,Agent,625.395925,Two-Door Car,Medsize
ZT30559,California,4746.686506,No,Basic,High School or Below,1/28/11,Disabled,F,15169,Suburban,Married,63,34,15,0,3,Personal Auto,Personal L3,Offer4,Web,302.4,Four-Door Car,Medsize
BG30513,California,25464.82059,Yes,Extended,College,1/2/2011,Retired,F,13663,Suburban,Single,97,1,66,0,2,Personal Auto,Personal L2,Offer1,Branch,465.6,Four-Door Car,Small
XN25550,Oregon,5345.201117,No,Extended,College,2/1/2011,Employed,M,55571,Suburban,Married,135,4,46,0,1,Personal Auto,Personal L2,Offer4,Agent,904.813121,SUV,Medsize
PH78214,Oregon,5427.174517,No,Basic,College,11/2/2011,Medical Leave,F,27677,Suburban,Married,72,10,82,1,3,Personal Auto,Personal L3,Offer2,Agent,345.6,Four-Door Car,Medsize
MK52711,California,10314.52484,No,Basic,High School or Below,11/1/2011,Employed,F,99759,Rural,Married,65,12,25,3,2,Personal Auto,Personal L2,Offer2,Agent,74.463101,Two-Door Car,Medsize
IU62399,California,5860.48309,No,Basic,Bachelor,2/25/11,Employed,F,36889,Urban,Married,74,24,82,1,3,Personal Auto,Personal L2,Offer1,Agent,192.186026,Four-Door Car,Medsize
RQ19236,Arizona,8042.803784,No,Basic,Doctor,5/1/2011,Employed,M,55411,Urban,Married,100,24,53,0,4,Personal Auto,Personal L2,Offer2,Web,259.561195,Sports Car,Medsize
FM55990,California,5989.773931,Yes,Premium,College,1/19/11,Employed,M,66839,Suburban,Single,154,33,24,0,1,Personal Auto,Personal L1,Offer2,Branch,739.2,Sports Car,Medsize
FN50615,Washington,8029.393076,No,Premium,High School or Below,1/16/11,Employed,F,96869,Suburban,Single,101,25,97,0,3,Personal Auto,Personal L3,Offer2,Agent,628.498605,Four-Door Car,Medsize
WW87934,Arizona,8257.666512,Yes,Basic,Bachelor,12/1/2011,Disabled,F,23815,Suburban,Married,73,4,47,0,2,Personal Auto,Personal L3,Offer2,Call Center,424.330166,Four-Door Car,Medsize
YU79270,Arizona,4633.336334,No,Basic,College,1/15/11,Medical Leave,M,27132,Suburban,Single,63,32,59,1,4,Personal Auto,Personal L1,Offer1,Branch,302.4,Four-Door Car,Medsize
IQ37561,Arizona,7590.961288,No,Extended,High School or Below,9/1/2011,Employed,F,52823,Rural,Married,95,7,15,0,5,Personal Auto,Personal L3,Offer2,Branch,125.768818,Two-Door Car,Medsize
PJ71030,Oregon,3049.837544,No,Extended,High School or Below,1/17/11,Unemployed,M,0,Suburban,Single,90,14,36,0,1,Special Auto,Special L3,Offer2,Branch,432.0,Four-Door Car,Medsize
PT50287,Oregon,2959.819985,No,Basic,Bachelor,2/27/11,Employed,F,69746,Urban,Divorced,74,17,91,0,1,Personal Auto,Personal L1,Offer1,Call Center,225.032781,Four-Door Car,Medsize
HF15113,Oregon,4883.551402,No,Basic,Bachelor,2/1/2011,Disabled,F,19096,Suburban,Divorced,64,17,5,0,3,Personal Auto,Personal L3,Offer1,Web,374.8996,Two-Door Car,Medsize
WM95454,California,2867.312197,Yes,Extended,Bachelor,3/1/2011,Retired,F,23376,Suburban,Divorced,78,19,18,0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize
DA61021,California,15167.04402,No,Basic,Master,4/1/2011,Employed,M,40467,Urban,Married,197,1,84,3,3,Personal Auto,Personal L2,Offer1,Agent,518.78464,Luxury SUV,Medsize
JX10102,Arizona,3223.217276,No,Extended,High School or Below,2/22/11,Unemployed,F,0,Suburban,Single,91,35,12,1,1,Personal Auto,Personal L2,Offer3,Agent,655.2,Four-Door Car,Small
SO42230,California,7126.263963,No,Extended,Master,2/17/11,Medical Leave,F,22490,Rural,Married,90,8,96,0,8,Personal Auto,Personal L3,Offer1,Agent,88.765534,Two-Door Car,Large
GI30974,Oregon,2337.356699,No,Basic,Bachelor,2/13/11,Unemployed,M,0,Suburban,Single,65,31,52,0,1,Corporate Auto,Corporate L3,Offer2,Agent,468.0,Four-Door Car,Small
FG42635,Oregon,10018.66117,No,Extended,College,2/18/11,Employed,M,30720,Suburban,Married,139,17,24,4,5,Personal Auto,Personal L2,Offer3,Agent,778.463303,SUV,Small
YU21725,Washington,4903.152748,No,Basic,High School or Below,3/1/2011,Unemployed,F,0,Suburban,Single,66,22,1,1,3,Corporate Auto,Corporate L3,Offer1,Agent,475.2,Four-Door Car,Medsize
XB89264,Nevada,5260.921627,No,Basic,High School or Below,2/20/11,Employed,F,60101,Rural,Married,66,34,74,0,3,Corporate Auto,Corporate L2,Offer2,Agent,1.332349,Two-Door Car,Medsize
IT11766,California,4148.570285,No,Basic,Bachelor,1/29/11,Employed,F,61896,Urban,Married,104,25,97,0,1,Personal Auto,Personal L2,Offer4,Call Center,461.306722,SUV,Medsize
SC66359,Arizona,4433.97368,No,Basic,College,2/21/11,Employed,F,50653,Rural,Married,110,29,42,0,1,Corporate Auto,Corporate L3,Offer4,Agent,262.865172,SUV,Small
JO11457,Oregon,4653.094259,No,Basic,High School or Below,8/2/2011,Unemployed,M,0,Suburban,Single,70,1,4,1,4,Personal Auto,Personal L2,Offer1,Agent,585.482275,Two-Door Car,Medsize
JB50798,Oregon,9624.524417,No,Extended,Master,1/20/11,Employed,F,25629,Suburban,Single,124,3,70,2,6,Corporate Auto,Corporate L3,Offer2,Agent,595.2,Sports Car,Medsize
AP65984,Oregon,4881.753428,No,Extended,College,2/26/11,Unemployed,F,0,Suburban,Single,135,0,86,0,1,Personal Auto,Personal L1,Offer2,Agent,648.0,SUV,Medsize
JN26745,Nevada,4135.775206,No,Premium,Bachelor,1/30/11,Unemployed,F,0,Suburban,Married,112,16,62,0,1,Special Auto,Special L2,Offer3,Agent,707.977614,Four-Door Car,Large
XJ40322,California,5294.28379,No,Basic,High School or Below,6/1/2011,Employed,F,61687,Rural,Single,67,13,17,0,3,Personal Auto,Personal L2,Offer4,Web,120.128737,Two-Door Car,Medsize
LN50325,Arizona,10064.60828,No,Extended,High School or Below,3/2/2011,Employed,F,20440,Suburban,Married,128,11,54,2,9,Corporate Auto,Corporate L3,Offer3,Branch,614.4,Sports Car,Medsize
NL17964,Oregon,2581.022016,No,Basic,High School or Below,1/24/11,Employed,M,35795,Suburban,Married,65,25,53,0,1,Personal Auto,Personal L3,Offer1,Agent,312.0,Four-Door Car,Medsize
FC52000,Oregon,4306.55935,No,Basic,College,2/17/11,Employed,F,26322,Rural,Married,111,8,94,2,1,Corporate Auto,Corporate L1,Offer3,Branch,180.346146,SUV,Medsize
YT74573,California,13727.79972,Yes,Extended,College,8/1/2011,Unemployed,M,0,Suburban,Single,126,12,4,0,2,Personal Auto,Personal L1,Offer1,Agent,604.8,SUV,Medsize
LN34660,California,9463.113263,No,Basic,College,2/21/11,Employed,F,69654,Suburban,Married,118,10,50,0,7,Corporate Auto,Corporate L3,Offer1,Branch,629.532731,SUV,Small
FO63400,California,5146.898635,No,Basic,College,4/1/2011,Employed,F,93752,Rural,Divorced,64,34,24,0,3,Corporate Auto,Corporate L1,Offer4,Call Center,154.713524,Four-Door Car,Large
MK87221,Arizona,3413.62256,No,Extended,High School or Below,12/2/2011,Medical Leave,F,18168,Suburban,Married,87,25,50,0,1,Personal Auto,Personal L2,Offer2,Agent,417.6,Two-Door Car,Medsize
ZB72138,Oregon,8929.611119,No,Basic,Bachelor,3/1/2011,Employed,M,44329,Suburban,Married,112,25,58,0,3,Personal Auto,Personal L1,Offer2,Agent,537.6,SUV,Medsize
MD86050,Oregon,4721.659016,No,Basic,High School or Below,2/28/11,Unemployed,M,0,Suburban,Single,67,20,38,0,8,Personal Auto,Personal L3,Offer4,Branch,482.4,Four-Door Car,Medsize
IZ26849,Oregon,5524.310373,No,Basic,Bachelor,1/26/11,Employed,F,70360,Suburban,Married,69,0,66,0,8,Personal Auto,Personal L3,Offer2,Branch,331.2,Two-Door Car,Small
IK74329,Arizona,18061.91837,No,Basic,High School or Below,5/1/2011,Medical Leave,F,13164,Rural,Single,70,0,45,0,2,Personal Auto,Personal L3,Offer1,Agent,75.393383,Two-Door Car,Medsize
CI19819,Arizona,2370.618948,No,Basic,High School or Below,1/13/11,Unemployed,M,0,Suburban,Single,71,1,66,1,1,Personal Auto,Personal L1,Offer1,Agent,511.2,Two-Door Car,Medsize
NN53003,California,13258.17973,No,Basic,College,2/17/11,Medical Leave,M,20754,Suburban,Divorced,184,19,15,0,7,Personal Auto,Personal L3,Offer1,Agent,1324.8,Luxury SUV,Medsize
TQ73726,Oregon,7587.337272,No,Basic,Bachelor,7/2/2011,Unemployed,M,0,Suburban,Married,69,17,60,0,2,Personal Auto,Personal L3,Offer1,Branch,460.741097,Two-Door Car,Medsize
XM96138,California,11277.72488,No,Extended,Master,1/2/2011,Employed,M,98138,Urban,Married,93,30,10,1,2,Personal Auto,Personal L1,Offer3,Agent,427.52731,Four-Door Car,Medsize
HU82227,Arizona,15638.57599,No,Premium,College,2/23/11,Employed,M,49214,Urban,Married,102,0,82,3,2,Corporate Auto,Corporate L2,Offer1,Agent,371.322406,Four-Door Car,Medsize
HC60268,Oregon,8346.019875,No,Premium,College,1/23/11,Employed,M,40105,Suburban,Divorced,104,21,26,0,3,Personal Auto,Personal L2,Offer1,Web,878.413622,Four-Door Car,Medsize
BS53322,California,14196.96535,No,Basic,High School or Below,6/1/2011,Employed,F,77738,Urban,Married,118,18,47,0,2,Personal Auto,Personal L3,Offer2,Call Center,463.457352,SUV,Small
UO49439,Oregon,5633.531703,No,Basic,College,1/21/11,Employed,M,90289,Rural,Divorced,71,9,10,1,3,Personal Auto,Personal L1,Offer1,Agent,22.193348,Four-Door Car,Medsize
HC90344,California,20370.76787,No,Basic,Bachelor,9/2/2011,Unemployed,F,0,Suburban,Single,73,0,21,1,2,Corporate Auto,Corporate L2,Offer1,Branch,525.6,Four-Door Car,Medsize
BA17836,California,7868.165983,No,Basic,High School or Below,1/17/11,Employed,M,57340,Rural,Single,67,7,19,0,2,Corporate Auto,Corporate L3,Offer1,Agent,159.391681,Four-Door Car,Medsize
CD95333,California,5638.930838,No,Basic,Bachelor,10/1/2011,Employed,M,20920,Rural,Single,74,19,14,0,4,Personal Auto,Personal L1,Offer2,Branch,14.784843,Two-Door Car,Medsize
GB32334,California,5379.482798,No,Basic,College,10/2/2011,Employed,F,24702,Urban,Married,68,13,63,0,8,Personal Auto,Personal L3,Offer2,Web,214.91451,Four-Door Car,Large
WM64930,Oregon,5253.487908,No,Premium,College,8/2/2011,Medical Leave,M,12811,Suburban,Married,150,27,0,2,1,Corporate Auto,Corporate L2,Offer2,Call Center,720.0,SUV,Medsize
SE15781,California,2396.219292,Yes,Basic,Bachelor,10/1/2011,Unemployed,F,0,Suburban,Married,66,6,71,2,1,Corporate Auto,Corporate L1,Offer2,Call Center,433.160284,Four-Door Car,Large
MP25903,Oregon,2703.266928,No,Basic,High School or Below,9/1/2011,Unemployed,M,0,Suburban,Married,71,6,46,0,1,Personal Auto,Personal L3,Offer2,Agent,497.392925,Two-Door Car,Small
KF75098,Arizona,5129.738992,No,Basic,Bachelor,1/25/11,Employed,M,86148,Suburban,Married,65,19,51,2,4,Personal Auto,Personal L3,Offer4,Agent,312.0,Four-Door Car,Small
LB97434,Arizona,5531.627731,No,Basic,Bachelor,1/21/11,Employed,M,50648,Suburban,Married,69,27,50,1,9,Personal Auto,Personal L3,Offer1,Call Center,331.2,Two-Door Car,Medsize
MR37609,Oregon,16414.04415,No,Basic,College,6/2/2011,Unemployed,M,0,Suburban,Married,112,11,9,0,2,Special Auto,Special L1,Offer1,Web,682.422936,SUV,Medsize
GW14698,Arizona,4882.493829,No,Basic,College,2/28/11,Employed,F,80604,Urban,Married,61,22,86,0,3,Corporate Auto,Corporate L3,Offer4,Web,255.982609,Four-Door Car,Medsize
JQ74890,Nevada,2921.681366,No,Extended,Bachelor,1/19/11,Unemployed,M,0,Suburban,Single,80,10,81,0,1,Corporate Auto,Corporate L2,Offer1,Branch,739.310493,Four-Door Car,Medsize
OM13505,Washington,5047.483378,No,Basic,Bachelor,1/14/11,Employed,M,81741,Urban,Single,64,10,94,0,8,Corporate Auto,Corporate L2,Offer1,Agent,186.448395,Four-Door Car,Medsize
FZ44411,Arizona,2716.190293,No,Extended,Bachelor,1/30/11,Unemployed,M,0,Suburban,Married,95,14,81,5,1,Corporate Auto,Corporate L2,Offer2,Call Center,619.267164,Four-Door Car,Medsize
QE21030,Washington,15483.52986,No,Basic,High School or Below,9/2/2011,Employed,M,24661,Suburban,Married,196,6,28,0,7,Personal Auto,Personal L1,Offer2,Call Center,1961.162049,Luxury SUV,Medsize
HY35960,Arizona,4957.404306,No,Basic,High School or Below,3/2/2011,Medical Leave,M,10194,Suburban,Married,65,34,35,0,4,Personal Auto,Personal L3,Offer4,Branch,312.0,Two-Door Car,Small
IB82793,California,2129.063055,No,Basic,High School or Below,11/1/2011,Unemployed,M,0,Suburban,Divorced,61,13,81,1,1,Corporate Auto,Corporate L3,Offer1,Agent,292.8,Four-Door Car,Medsize
UN90060,Oregon,8329.286254,No,Basic,High School or Below,1/19/11,Employed,F,30865,Rural,Married,104,33,31,0,7,Personal Auto,Personal L3,Offer1,Web,21.261834,SUV,Medsize
IX60436,Arizona,2853.370449,No,Basic,Bachelor,1/29/11,Employed,M,65099,Suburban,Married,73,8,19,2,1,Special Auto,Special L1,Offer2,Branch,350.4,Four-Door Car,Medsize
RY92647,California,10506.77172,No,Extended,Bachelor,1/13/11,Unemployed,F,0,Suburban,Married,92,15,36,0,2,Personal Auto,Personal L3,Offer1,Branch,546.524896,Four-Door Car,Medsize
WL46620,Nevada,7724.678387,No,Basic,Bachelor,2/22/11,Employed,M,29056,Suburban,Married,66,19,2,0,2,Personal Auto,Personal L3,Offer2,Branch,355.531267,Two-Door Car,Medsize
QM74621,Oregon,5272.319663,No,Extended,Bachelor,1/27/11,Unemployed,M,0,Suburban,Single,80,9,69,0,7,Personal Auto,Personal L3,Offer3,Agent,576.0,Four-Door Car,Medsize
FR48094,Arizona,2456.816127,No,Basic,High School or Below,2/15/11,Unemployed,M,0,Suburban,Single,73,15,59,0,1,Personal Auto,Personal L3,Offer4,Branch,525.6,Four-Door Car,Small
TC88451,Nevada,5738.277584,No,Basic,High School or Below,1/15/11,Employed,F,88055,Urban,Married,71,11,37,0,6,Personal Auto,Personal L1,Offer4,Call Center,337.727542,Four-Door Car,Medsize
EW35231,Oregon,9934.865795,No,Extended,High School or Below,2/27/11,Employed,F,56379,Suburban,Married,125,0,59,1,8,Corporate Auto,Corporate L2,Offer1,Agent,600.0,SUV,Medsize
AT55072,Arizona,9103.8997,No,Premium,College,4/2/2011,Employed,M,65733,Suburban,Married,113,13,6,0,3,Personal Auto,Personal L2,Offer2,Agent,684.948527,Four-Door Car,Medsize
MO48960,California,6265.343299,Yes,Extended,Doctor,1/13/11,Unemployed,F,0,Suburban,Married,84,18,25,1,4,Personal Auto,Personal L2,Offer1,Agent,481.025786,Four-Door Car,Medsize
